BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNARE1,,CN600773,TIBETURBANDEVELOPMENTANDINVESTM,0.978,0.994,29.923,40.228,1.000,-0.072,-0.970,-2.032,-0.411,-0.725,-1.062,0.822,2.461,-0.433,0.617,REALEST,29,6.260,5131076257.440,0.242,1,CNY,0,
CHNARE2,,CN600773,TIBETURBANDEVELOPMENTANDINVESTM,0.978,0.994,29.923,40.228,1.000,-0.072,-0.970,-2.032,-0.411,-0.725,-1.062,0.822,2.461,-0.433,0.617,REALEST,29,6.260,5131076257.440,0.242,0,CNY,0,
CHNARF1,,CN000616,HNAINVESTMENTGP,1.147,1.244,41.292,53.447,1.000,0.526,-1.908,-2.266,-0.933,0.069,0.018,2.318,0.505,0.176,0.186,REALEST,29,2.790,3990353613.300,0.000,1,CNY,0,
CHNARF2,,CN000616,HNAINVESTMENTGP,1.147,1.244,41.292,53.447,1.000,0.526,-1.908,-2.266,-0.933,0.069,0.018,2.318,0.505,0.176,0.186,REALEST,29,2.790,3990353613.300,0.000,0,CNY,0,
CHNARG1,,CN600759,GEO-JADEPETROLEUMCORP,0.764,1.048,28.396,43.157,1.000,-0.830,-2.448,-2.153,-0.694,0.205,0.469,2.368,1.273,0.078,0.412,ENERGY,1,1.990,4504379960.820,0.000,1,CNY,0,
CHNARG2,,CN600759,GEO-JADEPETROLEUMCORP,0.764,1.048,28.396,43.157,1.000,-0.830,-2.448,-2.153,-0.694,0.205,0.469,2.368,1.273,0.078,0.412,ENERGY,1,1.990,4504379960.820,0.000,0,CNY,0,
CHNARH1,,CN000617,CNPCCAPITALCOMPANYLIMITED,0.963,0.781,20.322,31.090,1.000,-0.124,-1.249,0.605,0.924,-1.312,-3.034,1.741,1.779,-2.144,-0.328,MACH,11,6.860,86724662481.940,2.620,1,CNY,0,
CHNARH2,,CN000617,CNPCCAPITALCOMPANYLIMITED,0.963,0.781,20.322,31.090,1.000,-0.124,-1.249,0.605,0.924,-1.312,-3.034,1.741,1.779,-2.144,-0.328,MACH,11,6.860,86724662481.940,2.620,0,CNY,0,
CHNARI1,,CN000615,AOYUANBEAUTYVALLEYTECHCOLTD,0.719,1.090,43.061,52.492,1.000,-0.990,-1.688,-2.207,-0.973,1.260,-1.065,-0.015,0.416,0.780,0.308,REALEST,29,5.440,4249620935.360,0.000,1,CNY,0,
CHNARI2,,CN000615,AOYUANBEAUTYVALLEYTECHCOLTD,0.719,1.090,43.061,52.492,1.000,-0.990,-1.688,-2.207,-0.973,1.260,-1.065,-0.015,0.416,0.780,0.308,REALEST,29,5.440,4249620935.360,0.000,0,CNY,0,
