InstrumentID,Direction,OffsetFlag,LongPos,TradingDate,StrategyID,AccountID,ShortPos
002037.SZE,0,0,15200,2020-12-09,@hljk1alpha,hljk1alpha,0
002038.SZE,0,0,10100,2020-12-09,@hljk1alpha,hljk1alpha,0
002039.SZE,0,0,7200,2020-12-09,@hljk1alpha,hljk1alpha,0
002040.SZE,0,0,13300,2020-12-09,@hljk1alpha,hljk1alpha,0
002048.SZE,0,0,7000,2020-12-09,@hljk1alpha,hljk1alpha,0
002049.SZE,0,0,1100,2020-12-09,@hljk1alpha,hljk1alpha,0
002051.SZE,0,0,14900,2020-12-09,@hljk1alpha,hljk1alpha,0
002053.SZE,0,0,10200,2020-12-09,@hljk1alpha,hljk1alpha,0
002054.SZE,0,0,12600,2020-12-09,@hljk1alpha,hljk1alpha,0
002056.SZE,0,0,4100,2020-12-09,@hljk1alpha,hljk1alpha,0
002057.SZE,0,0,11100,2020-12-09,@hljk1alpha,hljk1alpha,0
002058.SZE,0,0,6500,2020-12-09,@hljk1alpha,hljk1alpha,0
002059.SZE,0,0,23100,2020-12-09,@hljk1alpha,hljk1alpha,0
002060.SZE,0,0,34500,2020-12-09,@hljk1alpha,hljk1alpha,0
002061.SZE,0,0,19800,2020-12-09,@hljk1alpha,hljk1alpha,0
002062.SZE,0,0,26200,2020-12-09,@hljk1alpha,hljk1alpha,0
002064.SZE,0,0,12300,2020-12-09,@hljk1alpha,hljk1alpha,0
002066.SZE,0,0,5400,2020-12-09,@hljk1alpha,hljk1alpha,0
002067.SZE,0,0,15800,2020-12-09,@hljk1alpha,hljk1alpha,0
002068.SZE,0,0,8400,2020-12-09,@hljk1alpha,hljk1alpha,0
002073.SZE,0,0,20800,2020-12-09,@hljk1alpha,hljk1alpha,0
002074.SZE,0,0,1900,2020-12-09,@hljk1alpha,hljk1alpha,0
002078.SZE,0,0,7600,2020-12-09,@hljk1alpha,hljk1alpha,0
002082.SZE,0,0,1500,2020-12-09,@hljk1alpha,hljk1alpha,0
002083.SZE,0,0,11300,2020-12-09,@hljk1alpha,hljk1alpha,0
002087.SZE,0,0,13800,2020-12-09,@hljk1alpha,hljk1alpha,0
002088.SZE,0,0,9400,2020-12-09,@hljk1alpha,hljk1alpha,0
002090.SZE,0,0,6700,2020-12-09,@hljk1alpha,hljk1alpha,0
002092.SZE,0,0,9300,2020-12-09,@hljk1alpha,hljk1alpha,0
002093.SZE,0,0,14100,2020-12-09,@hljk1alpha,hljk1alpha,0
002094.SZE,0,0,12200,2020-12-09,@hljk1alpha,hljk1alpha,0
002097.SZE,0,0,13600,2020-12-09,@hljk1alpha,hljk1alpha,0
002100.SZE,0,0,8500,2020-12-09,@hljk1alpha,hljk1alpha,0
002101.SZE,0,0,5900,2020-12-09,@hljk1alpha,hljk1alpha,0
002104.SZE,0,0,9600,2020-12-09,@hljk1alpha,hljk1alpha,0
002105.SZE,0,0,6700,2020-12-09,@hljk1alpha,hljk1alpha,0
002106.SZE,0,0,9800,2020-12-09,@hljk1alpha,hljk1alpha,0
002107.SZE,0,0,6500,2020-12-09,@hljk1alpha,hljk1alpha,0
002108.SZE,0,0,11600,2020-12-09,@hljk1alpha,hljk1alpha,0
002111.SZE,0,0,7000,2020-12-09,@hljk1alpha,hljk1alpha,0
002116.SZE,0,0,3900,2020-12-09,@hljk1alpha,hljk1alpha,0
002117.SZE,0,0,9800,2020-12-09,@hljk1alpha,hljk1alpha,0
002118.SZE,0,0,14600,2020-12-09,@hljk1alpha,hljk1alpha,0
002119.SZE,0,0,9700,2020-12-09,@hljk1alpha,hljk1alpha,0
002123.SZE,0,0,5000,2020-12-09,@hljk1alpha,hljk1alpha,0
002124.SZE,0,0,7500,2020-12-09,@hljk1alpha,hljk1alpha,0
002126.SZE,0,0,10200,2020-12-09,@hljk1alpha,hljk1alpha,0
002127.SZE,0,0,400,2020-12-09,@hljk1alpha,hljk1alpha,0
002130.SZE,0,0,21300,2020-12-09,@hljk1alpha,hljk1alpha,0
002131.SZE,0,0,16800,2020-12-09,@hljk1alpha,hljk1alpha,0
002133.SZE,0,0,19200,2020-12-09,@hljk1alpha,hljk1alpha,0
002136.SZE,0,0,7200,2020-12-09,@hljk1alpha,hljk1alpha,0
002137.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
002138.SZE,0,0,4400,2020-12-09,@hljk1alpha,hljk1alpha,0
002139.SZE,0,0,13200,2020-12-09,@hljk1alpha,hljk1alpha,0
002140.SZE,0,0,14900,2020-12-09,@hljk1alpha,hljk1alpha,0
002144.SZE,0,0,8600,2020-12-09,@hljk1alpha,hljk1alpha,0
002148.SZE,0,0,24100,2020-12-09,@hljk1alpha,hljk1alpha,0
002150.SZE,0,0,17900,2020-12-09,@hljk1alpha,hljk1alpha,0
002152.SZE,0,0,4700,2020-12-09,@hljk1alpha,hljk1alpha,0
002154.SZE,0,0,32300,2020-12-09,@hljk1alpha,hljk1alpha,0
002155.SZE,0,0,6600,2020-12-09,@hljk1alpha,hljk1alpha,0
002156.SZE,0,0,3900,2020-12-09,@hljk1alpha,hljk1alpha,0
002159.SZE,0,0,9100,2020-12-09,@hljk1alpha,hljk1alpha,0
002161.SZE,0,0,18600,2020-12-09,@hljk1alpha,hljk1alpha,0
002162.SZE,0,0,33800,2020-12-09,@hljk1alpha,hljk1alpha,0
002164.SZE,0,0,9900,2020-12-09,@hljk1alpha,hljk1alpha,0
002165.SZE,0,0,9500,2020-12-09,@hljk1alpha,hljk1alpha,0
002166.SZE,0,0,13300,2020-12-09,@hljk1alpha,hljk1alpha,0
002168.SZE,0,0,10000,2020-12-09,@hljk1alpha,hljk1alpha,0
002172.SZE,0,0,15000,2020-12-09,@hljk1alpha,hljk1alpha,0
002174.SZE,0,0,6900,2020-12-09,@hljk1alpha,hljk1alpha,0
